MTR TC 총 184건

CD-FT-MTR-001 | 화면=소재주문등록 | 기능=사업자 | 결과= | 날짜=
CD-FT-MTR-002 | 화면=소재주문등록 | 기능=발주사 | 결과= | 날짜=
CD-FT-MTR-003 | 화면=소재주문등록 | 기능=도면번호 | 결과= | 날짜=
CD-FT-MTR-004 | 화면=소재주문등록 | 기능=수행공장 | 결과= | 날짜=
CD-FT-MTR-005 | 화면=소재주문등록 | 기능=작업지시번호 | 결과= | 날짜=
CD-FT-MTR-006 | 화면=소재주문등록 | 기능=소재주문번호 | 결과= | 날짜=
CD-FT-MTR-007 | 화면=소재주문등록 | 기능=소재주문업체 | 결과= | 날짜=
CD-FT-MTR-008 | 화면=소재주문등록 | 기능=소재종류 | 결과= | 날짜=
CD-FT-MTR-009 | 화면=소재주문등록 | 기능=날짜 조회 기준 선택 | 결과= | 날짜=
CD-FT-MTR-010 | 화면=소재주문등록 | 기능=확정/등록일시_시작 | 결과= | 날짜=
CD-FT-MTR-011 | 화면=소재주문등록 | 기능=확정/등록일시_끝 | 결과= | 날짜=
CD-FT-MTR-012 | 화면=소재주문등록 | 기능=기간(오늘/1주/1개월) | 결과= | 날짜=
CD-FT-MTR-013 | 화면=소재주문등록 | 기능=Option_주문대기 | 결과= | 날짜=
CD-FT-MTR-014 | 화면=소재주문등록 | 기능=Option_주문완료 | 결과= | 날짜=
CD-FT-MTR-015 | 화면=소재주문등록 | 기능=Option_입고완료 | 결과= | 날짜=
CD-FT-MTR-016 | 화면=소재주문등록 | 기능=Option_출하완료 | 결과= | 날짜=
CD-FT-MTR-017 | 화면=소재주문등록 | 기능=Option_외주가공 | 결과= | 날짜=
CD-FT-MTR-018 | 화면=소재주문등록 | 기능=Excel 파일 다운로드 | 결과= | 날짜=
CD-FT-MTR-019 | 화면=소재주문등록 | 기능=검색 | 결과= | 날짜=
CD-FT-MTR-020 | 화면=소재주문등록 | 기능=Enter Your Keyword | 결과= | 날짜=
CD-FT-MTR-021 | 화면=소재주문등록 | 기능=All Fields | 결과= | 날짜=
CD-FT-MTR-022 | 화면=소재주문등록 | 기능=Contains | 결과= | 날짜=
CD-FT-MTR-023 | 화면=소재주문등록 | 기능=소재주문 | 결과= | 날짜=
CD-FT-MTR-024 | 화면=소재주문등록 | 기능=주문취소 | 결과= | 날짜=
CD-FT-MTR-025 | 화면=소재주문등록 | 기능=부적합 조회 | 결과= | 날짜=
CD-FT-MTR-026 | 화면=소재주문등록 | 기능=보유소재 전체현황 | 결과= | 날짜=
CD-FT-MTR-027 | 화면=소재주문등록 | 기능=보유소재 자동매칭 | 결과= | 날짜=
CD-FT-MTR-028 | 화면=소재주문등록 | 기능=보유소재_곻장 | 결과= | 날짜=
CD-FT-MTR-029 | 화면=소재주문등록 | 기능=보유소재_소재 | 결과= | 날짜=
CD-FT-MTR-030 | 화면=소재주문등록 | 기능=보유소재_가로세로 | 결과= | 날짜=
CD-FT-MTR-031 | 화면=소재주문등록 | 기능=보유소재_두께 | 결과= | 날짜=
CD-FT-MTR-032 | 화면=소재주문등록 | 기능=보유소재_저장 | 결과= | 날짜=
CD-FT-MTR-033 | 화면=소재주문등록 | 기능=보유소재_요청 | 결과= | 날짜=
CD-FT-MTR-034 | 화면=소재주문등록 | 기능=저장 | 결과= | 날짜=
CD-FT-MTR-035 | 화면=소재주문등록 | 기능=작업상새정보 | 결과= | 날짜=
CD-FT-MTR-036 | 화면=소재주문등록 | 기능=Drawing Information(도면미리보기) | 결과= | 날짜=
CD-FT-MTR-037 | 화면=소재주문등록 | 기능=비고 | 결과= | 날짜=
CD-FT-MTR-038 | 화면=소재주문등록 | 기능=긴급 | 결과= | 날짜=
CD-FT-MTR-039 | 화면=소재주문등록 | 기능=소재납기 | 결과= | 날짜=
CD-FT-MTR-040 | 화면=소재주문등록 | 기능=가공납기 | 결과= | 날짜=
CD-FT-MTR-041 | 화면=소재주문등록 | 기능=소재형태 | 결과= | 날짜=
CD-FT-MTR-042 | 화면=소재주문등록 | 기능=소재종류 | 결과= | 날짜=
CD-FT-MTR-043 | 화면=소재주문등록 | 기능=요청소재Size(mm) | 결과= | 날짜=
CD-FT-MTR-044 | 화면=소재주문등록 | 기능=주문수량 | 결과= | 날짜=
CD-FT-MTR-045 | 화면=소재주문등록 | 기능=주문업체 | 결과= | 날짜=
CD-FT-MTR-046 | 화면=소재주문등록 | 기능=요청사항_요청사항 | 결과= | 날짜=
CD-FT-MTR-047 | 화면=소재주문등록 | 기능=요청사항_비고 | 결과= | 날짜=
CD-FT-MTR-048 | 화면=소재주문등록 | 기능=Reset | 결과= | 날짜=
CD-FT-MTR-049 | 화면=소재주문등록 | 기능=바코드 | 결과= | 날짜=
CD-FT-MTR-050 | 화면=소재주문등록 | 기능=도면의 바코드를 스캔해주세요 | 결과= | 날짜=
CD-FT-MTR-051 | 화면=소재주문등록 | 기능=소재주문번호 | 결과= | 날짜=
CD-FT-MTR-052 | 화면=소재주문등록 | 기능=작성자 | 결과= | 날짜=
CD-FT-MTR-053 | 화면=소재주문등록 | 기능=발주사업자 | 결과= | 날짜=
CD-FT-MTR-054 | 화면=소재주문등록 | 기능=추가 | 결과= | 날짜=
CD-FT-MTR-055 | 화면=소재주문등록 | 기능=저장 | 결과= | 날짜=
CD-FT-MTR-056 | 화면=소재주문등록 | 기능=제출 | 결과= | 날짜=
CD-FT-MTR-057 | 화면=소재주문등록 | 기능=주문일시 | 결과= | 날짜=
CD-FT-MTR-058 | 화면=소재주문등록 | 기능=Print | 결과= | 날짜=
CD-FT-MTR-059 | 화면=소재주문등록 | 기능=제출취소 | 결과= | 날짜=
CD-FT-MTR-060 | 화면=소재주문등록 | 기능=삭제 | 결과= | 날짜=
CD-FT-MTR-061 | 화면=소재주문등록 | 기능=작업상세정보 | 결과= | 날짜=
CD-FT-MTR-062 | 화면=소재주문등록 | 기능=Drawing Information(도면미리보기) | 결과= | 날짜=
CD-FT-MTR-063 | 화면=소재주문등록 | 기능=소재형태 | 결과= | 날짜=
CD-FT-MTR-064 | 화면=소재주문등록 | 기능=소재종류 | 결과= | 날짜=
CD-FT-MTR-065 | 화면=소재주문등록 | 기능=요청소재Size(mm) | 결과= | 날짜=
CD-FT-MTR-066 | 화면=소재주문등록 | 기능=주문수량 | 결과= | 날짜=
